num_Windows,parallelism,win_Size,ctxid,step,operatorID,instanceID,window_Start,local_End,window_End
4,20,42,0,1,7,7,1490868280261,1490868280340,1490868280838
4,20,42,0,1,7,12,1490868280308,1490868280367,1490868280831
4,20,42,0,1,7,6,1490868280260,1490868280316,1490868280838
4,20,42,0,1,7,14,1490868280290,1490868280336,1490868280831
4,20,42,0,1,7,13,1490868280295,1490868280352,1490868280835
4,20,42,0,1,7,17,1490868280200,1490868280250,1490868280788
4,20,42,0,1,7,18,1490868280200,1490868280250,1490868280787
4,20,42,0,1,7,8,1490868280346,1490868280428,1490868280833
4,20,42,0,1,7,11,1490868280372,1490868280437,1490868280833
4,20,42,0,1,7,19,1490868280204,1490868280252,1490868280788
4,20,42,0,1,7,9,1490868280359,1490868280431,1490868280832
4,20,42,0,1,7,16,1490868280200,1490868280250,1490868280787
4,20,42,0,1,7,10,1490868280536,1490868280569,1490868280835
4,20,42,0,1,7,1,1490868280446,1490868280577,1490868280838
4,20,42,0,1,7,4,1490868280264,1490868280335,1490868280855
4,20,42,0,1,7,15,1490868280327,1490868280395,1490868280854
4,20,42,0,1,7,5,1490868280248,1490868280332,1490868280869
4,20,42,0,1,7,3,1490868280388,1490868280555,1490868280888
4,20,42,0,1,7,0,1490868280591,1490868280661,1490868280892
4,20,42,0,1,7,2,1490868280588,1490868280665,1490868280961
4,20,42,1,1,7,11,1490868280618,1490868280647,1490868281934
4,20,42,1,1,7,9,1490868280617,1490868280649,1490868281934
4,20,42,1,1,7,8,1490868280635,1490868280664,1490868281934
4,20,42,1,1,7,12,1490868280469,1490868280520,1490868281933
4,20,42,1,1,7,4,1490868280502,1490868280545,1490868281940
4,20,42,1,1,7,13,1490868280397,1490868280432,1490868281933
4,20,42,1,1,7,6,1490868280373,1490868280440,1490868281940
4,20,42,1,1,7,14,1490868280369,1490868280409,1490868281933
4,20,42,1,1,7,15,1490868280503,1490868280568,1490868281934
4,20,42,1,1,7,7,1490868280451,1490868280479,1490868281940
4,20,42,1,1,7,16,1490868280327,1490868280365,1490868281889
4,20,42,1,1,7,17,1490868280328,1490868280368,1490868281889
4,20,42,1,1,7,18,1490868280328,1490868280373,1490868281890
4,20,42,1,1,7,19,1490868280328,1490868280366,1490868281890
4,20,42,1,1,7,10,1490868280692,1490868280736,1490868281946
4,20,42,2,1,7,9,1490868280664,1490868280694,1490868281949
4,20,42,2,1,7,6,1490868280493,1490868280532,1490868281956
4,20,42,2,1,7,16,1490868280427,1490868280459,1490868281906
4,20,42,2,1,7,11,1490868280655,1490868280684,1490868281952
4,20,42,2,1,7,13,1490868280473,1490868280529,1490868281950
4,20,42,2,1,7,8,1490868280675,1490868280710,1490868281954
4,20,42,2,1,7,4,1490868280639,1490868280671,1490868281959
4,20,42,2,1,7,19,1490868280428,1490868280460,1490868281912
4,20,42,3,1,7,9,1490868280716,1490868280749,1490868281966
4,20,42,2,1,7,15,1490868280584,1490868280662,1490868281965
4,20,42,3,1,7,6,1490868280535,1490868280563,1490868281972
4,20,42,3,1,7,11,1490868280688,1490868280723,1490868281968
4,20,42,3,1,7,8,1490868280715,1490868280750,1490868281970
4,20,42,2,1,7,12,1490868280533,1490868280586,1490868281968
4,20,42,2,1,7,10,1490868280743,1490868280778,1490868281972
4,20,42,2,1,7,14,1490868280477,1490868280548,1490868281969
4,20,42,2,1,7,7,1490868280502,1490868280548,1490868281974
4,20,42,3,1,7,4,1490868280678,1490868280728,1490868281976
4,20,42,3,1,7,10,1490868280782,1490868280814,1490868281994
4,20,42,3,1,7,7,1490868280577,1490868280604,1490868281999
4,20,42,2,1,7,17,1490868280427,1490868280460,1490868281967
4,20,42,0,2,7,8,1490868280834,1490868281027,1490868282014
4,20,42,0,2,7,9,1490868280834,1490868281016,1490868282014
4,20,42,0,2,7,11,1490868280834,1490868281007,1490868282015
4,20,42,3,1,7,19,1490868280463,1490868280491,1490868281971
4,20,42,2,1,7,18,1490868280427,1490868280457,1490868281976
4,20,42,3,1,7,16,1490868280461,1490868280488,1490868281987
4,20,42,1,1,7,0,1490868281546,1490868281567,1490868282028
4,20,42,3,1,7,15,1490868280714,1490868280748,1490868282034
4,20,42,3,1,7,13,1490868280532,1490868280591,1490868282035
4,20,42,3,1,7,14,1490868280550,1490868280621,1490868282043
4,20,42,3,1,7,12,1490868280609,1490868280703,1490868282046
4,20,42,0,2,7,6,1490868280840,1490868281290,1490868282018
4,20,42,0,2,7,4,1490868280855,1490868281398,1490868282019
4,20,42,0,2,7,7,1490868280840,1490868281276,1490868282059
4,20,42,3,1,7,17,1490868280462,1490868280492,1490868282010
4,20,42,0,2,7,19,1490868280797,1490868280895,1490868282015
4,20,42,3,1,7,18,1490868280459,1490868280484,1490868282021
4,20,42,0,2,7,14,1490868280832,1490868281020,1490868282066
4,20,42,0,2,7,15,1490868280854,1490868281038,1490868282070
4,20,42,0,2,7,16,1490868280798,1490868280910,1490868282040
4,20,42,2,1,7,0,1490868281587,1490868281601,1490868282090
4,20,42,0,2,7,13,1490868280835,1490868281028,1490868282096
4,20,42,0,2,7,10,1490868280835,1490868281068,1490868282125
4,20,42,0,2,7,17,1490868280794,1490868280905,1490868282088
4,20,42,1,1,7,1,1490868281528,1490868281538,1490868282130
4,20,42,0,2,7,12,1490868280832,1490868281044,1490868282137
4,20,42,3,1,7,0,1490868281618,1490868281635,1490868282140
4,20,42,2,1,7,1,1490868281547,1490868281565,1490868282154
4,20,42,0,2,7,18,1490868280789,1490868280918,1490868282126
4,20,42,1,1,7,3,1490868281554,1490868281578,1490868282182
4,20,42,2,1,7,3,1490868281592,1490868281602,1490868282201
4,20,42,3,1,7,1,1490868281571,1490868281584,1490868282221
4,20,42,3,1,7,3,1490868281617,1490868281630,1490868282286
4,20,42,1,1,7,5,1490868280505,1490868280553,1490868282334
4,20,42,2,1,7,5,1490868280682,1490868280733,1490868282370
4,20,42,0,2,7,1,1490868280843,1490868281516,1490868282369
4,20,42,3,1,7,5,1490868280779,1490868280813,1490868282400
4,20,42,1,1,7,2,1490868281607,1490868281634,1490868282390
4,20,42,0,2,7,0,1490868280892,1490868281510,1490868282394
4,20,42,0,2,7,3,1490868280888,1490868281528,1490868282417
4,20,42,2,1,7,2,1490868281684,1490868281698,1490868282582
4,20,42,3,1,7,2,1490868281718,1490868281732,1490868282622
4,20,42,0,2,7,2,1490868280961,1490868281542,1490868282740
